Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;CA;2015;11;Female;16.0;Right-Handed;157,4;22.2;150;2;Car;15;1.274;47;Swimming;861;1000.0;941.0;936.0;187.0;198.0;22.2;Same length;70;70;Same length;December;Summer;No;No;Meat;Soft drink (caffeinated);Art;8;10;7.0;Yes - broadband connection;Text messaging;67;50;4;1;1;7;0;0;10;24;24;8;0;0;Some;Graduate degree;Other;Freeze time;Famous;Relative;International aid
USA;CA;2020;12;Male;17.0;Right-Handed;170,69;30;20;2;Walk;10;0.336;36;Basketball;600;500.0;700.0;400.0;500.0;600.0;31;Left foot;8;8;Same length;March;Fall;No;No;Pizza/Pasta;Water;History;6;8;3.0;Yes - broadband connection;Text messaging;15;30;10;7;8;20;18;30;10;8;12;5;10;8;Some;Graduate degree;Rap/Hip hop;Freeze time;Happy;Other;Wildlife, animals
USA;CA;2023;11;Male;17.0;Right-Handed;170,69;9;4;one;Car;15 mi;30/40;7;Football (American);100;500.0;1000.0;200.0;300.0;400.0;idk;Right foot;long ;idk;Ring finger;December;Summer;Yes;Yes;Rice/Noodle dishes;Sports drink;History;5-ago;4-may;3.0;Yes - dial-up connection;Cell phone;8;7;5;1;10;5;0;0;0;1;10;0;0;1;Very little;High school;Pop;Super strength;Healthy;Sports person;Environment
USA;CA;2023;11;Female;16.0;Right-Handed;157;78.74;60,96;2;Bus;25;1.9;51;Baseball/Softball;513;904.0;1000.0;529.0;904.0;1000.0;78.74;Same length;76.2;73.66;Index finger;March;Winter;No;No;Seafood;Coffee;Languages;8;5;3.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;60;75;9;5;9;6;9;4;5;10;10;8;5;7;Some;Graduate degree;Pop;Freeze time;Happy;Sports person;Arts, culture, sports
USA;CA;2015;6;Male;11.0;Right-Handed;152,4;26;1.041;2;Car;5;0.724;66;Soccer;200;600.0;800.0;100.0;50.0;300.0;27;Left foot;65;70;Ring finger;January;Summer;Yes;No;Meat;Sports drink;History;8;9;3.0;Yes - other;Text messaging;20;19;1;2;8;1;1;1;2;0;3;1;0;0;Some;Other;Rock and roll;Freeze time;Healthy;Other;Health
USA;CA;2016;12;Female;17.0;Left-Handed;165;21;159;2;Walk;6;.47;63;Basketball;70;100.0;100.0;100.0;80.0;100.0;19;Right foot;70;70;Ring finger;March;Winter;Yes;No;Pizza/Pasta;Water;Mathematics and statistics;8;6;5.0;Yes - other;Text messaging;500;600;4;2;1;10;3;1;8;9;3;1;1;1;Some;Other;Pop;Freeze time;Happy;Relative;Health
USA;CA;2024;12;Female;17.0;Right-Handed;152;21;159;2;Car;7;.669;33;Walking/Hiking;900;300.0;550.0;550.0;650.0;900.0;23;Left foot;78;76;Index finger;March;Fall;No;No;Rice/Noodle dishes;Water;Other;6;8;2.0;Yes - broadband connection;In person;6;2;8.5;0.166;3;11;0;4;9;1;70;0;15;2;Some;Graduate degree;Other;Freeze time;Happy;Musician or singer;International aid
USA;CA;2018;12;Male;22.0;Right-Handed;170,69;9.5;150;2;Car;15;.47;41;Other;1000;664.0990990990991;756.2494331065759;657.9519230769231;782.7097505668934;1256.514739229025;24;Same length;70;70;Ring finger;April;Winter;No;No;Meat;Water;History;7;10;116.64806378132118;Yes - broadband connection;Text messaging;0;0;5;1;10;5;0;0;0;1;10;0;0;1;Some;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;CA;2015;6;Female;11.0;Left-Handed;162;28;158;3;Bus;15;.422;37;Swimming;706;583.0;834.0;786.0;973.0;979.0;27;Right foot;6.9;7.6;Ring finger;July;Summer;Yes;No;Seafood;Water;Music;9;10;5.0;Yes - broadband connection;Cell phone;11;13;2;1;11;5;11;1;0;1;10;4;0;2;Some;Graduate degree;Pop;Fly;Happy;Relative;International aid
USA;CA;2023;11;Female;16.0;Right-Handed;162;43;76;1;Car;3 min;0.398;54;Baseball/Softball;278;86.0;898.0;781.0;866.0;1000.0;43;Same length;13;13;Same length;July;Winter;No;No;Meat;Water;Other;7;8;6.0;Yes - other;Internet chat or instant messaging;200;100;0;24;0;0;0;27;42;200;67;1000;0;0;A lot;Graduate degree;Country;Freeze time;Rich;Friend;Other
