Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2018;11;Male;16;Right-Handed;182;27;183;1;Car;40;.52;48;Soccer;410;570;610;490;750;740;27;Same length;95;93;Index finger;December;Summer;No;No;Meat;Water;Physical education;8;10;4;Yes - broadband connection;Text messaging;20;150;6;1;8;4;10;2;2;3;7;3;0;0;A lot;Graduate degree;Pop;Fly;Rich;Sports person;Arts, culture, sports;;
USA;CA;2023;11;Male;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2011;12;Female;17;Left-Handed;180;26;185;1;Car;7;.452;41;Dancing;800;800;800;;800;900;25;Right foot;85;87;Ring finger;March;Winter;No;No;Salads;Tea;English;5;7;6;Yes - broadband connection;In person;15;15;25;2;10;2;13;0;3;5;40;5;0;2;A lot;Graduate degree;Other;Fly;Happy;Relative;International aid;;
USA;CA;2016;12;Female;17;Right-Handed;165;24;162;1;Car;10;0.438;35;Other;2;4;1;3;6;5;24;Right foot;90;80;Ring finger;January;Fall;No;No;Rice/Noodle dishes;Water;Social studies;10;8;2;Yes - broadband connection;Text messaging;20;40;12;2;20;10;9;0;3;3;3;5;0;0;A lot;Graduate degree;Country;Telepathy;Happy;Coach or club leader;Health;;
USA;CA;2014;12;Male;17;Right-Handed;32;32;192;1;Car;7;.788;65;Athletics;;;;;;;32;Same length;80;77;Ring finger;November;Summer;No;No;Meat;Juice;Art;6;8;5;Yes - broadband connection;Text messaging;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2018;12;Male;17;Right-Handed;151;25;136;2;Car;20;0.195;38;Other;874;653;906;915;890;890;25;Same length;;83;Index finger;May;Summer;Yes;No;Vegetables;Water;Science;8;10;4;Yes - broadband connection;In person;25;25;4;2;7;40;4;0;0;3;25;10;0;10;Some;Graduate degree;Heavy metal;Freeze time;Healthy;Relative;Other;;
USA;CA;2016;9;Male;15;Right-Handed;169;28;179;2;Car;8;0.048;79;Cycling;;;;;;;28;Same length;111;113;Ring finger;December;Summer;Yes;No;Pizza/Pasta;Water;Other;8;10;4;Yes - broadband connection;Text messaging;0;0;2;0;0;2;2;1;1;2;4;1;0;0;A lot;Some college;Rap/Hip hop;Telepathy;Rich;Other;Other;;
USA;CA;2014;12;Male;16;Right-Handed;184;;;1;Car;6;;.891;Football (American);0;0;0;0;1000;1000;;Same length;;;Same length;July;Summer;No;No;Poultry;Water;Physical education;8;9;5;Yes - broadband connection;Text messaging;100;120;30;5;3;6;30;1;0;70;20;2;0;1;Some;Some college;Rap/Hip hop;Fly;Rich;Sports person;Arts, culture, sports;;
USA;CA;2016;7;Male;12;Right-Handed;150;23;167;1;Car;7;0.51;53;Baseball/Softball;636;807;1000;561;690;797;23;Same length;8;7;Index finger;August;Summer;Yes;No;Meat;Water;History;8.5;9;9;Yes - other;Text messaging;3;6;42;1;15;9;14;1;3;1;2;2;0;3;Some;Graduate degree;Rap/Hip hop;Freeze time;Famous;Sports person;Health;;
USA;CA;2014;12;Male;17;Right-Handed;184,1;26.67;184;2;Car;7;.56;62;Other;600;600;700;200;900;950;26.7;Left foot;800.1;800.1;Same length;October;Summer;No;No;Meat;Water;History;7;9;5;Yes - broadband connection;Text messaging;10;15;60;1;15;5;10;25;10;4;40;9;2;2;Some;Graduate degree;Pop;Fly;Healthy;Relative;Arts, culture, sports;;
